field,max_abs_diff,signed_diff_fp32_minus_original,original_value,fp32_value,sample_idx,layer,alpha,location_key
h_post_max_variation.value,5.434e-05,-5.434e-05,6.761e-05,1.327e-05,,12,,
unit_summary.h_pre_orig_mean,0.00016700000000002824,0.00016700000000002824,0.759567,0.759734,,13,,
unit_summary.h_pre_unit_mean,1.0000000000287557e-06,1.0000000000287557e-06,0.99991,0.999911,,24,,
unit_summary.h_pre_change,0.00016700000000000048,-0.00016700000000000048,0.240379,0.240212,,13,,
unit_summary.h_post_orig_mean,0.0010629999999999806,-0.0010629999999999806,0.406224,0.405161,,0,,
unit_summary.h_post_unit_mean,0.0010799999999999699,-0.0010799999999999699,0.408983,0.407903,,0,,
unit_summary.h_post_change,6.600000000000009e-05,-6.600000000000009e-05,0.002837,0.002771,,18,,
unit_summary.h_norm_mean,0.023099999999999454,-0.023099999999999454,287.5683,287.5452,,27,,
unit_summary.h_norm_std,0.02179999999999982,-0.02179999999999982,3.9448,3.923,,26,,
alpha_summary.h_pre,0.00016000000000000042,-0.00016000000000000042,0.05808,0.05792,,,4.0,L14_h_pre
alpha_summary.h_post,0.0010970000000000146,-0.0010970000000000146,0.406285,0.405188,,,0.7,L0_h_post
